HM003,HM008,HM011,HM012,HM013,HM031,HM032,HM038,HM046,HM051,HM052,HM054,HM055,HM056,HM057,HM058,HM063,HM064,HM065,HM068,HM070,HM071,HM081,HM082,HM083,HM085,HM086,HM087,HM088,HM089,HM092,HM093,HM101,HM117,HM118,HM119,HM120,HM121,HM122,HM124,HM125,HM139,HM152,HM154,HM155,HM164,HM168,HM169,HM170,HM172,HM173,HM175,HM176,HM177,HM178,HM179,HM180,HM181,HM189,HM190,HM193,HM201,HM205,HM256,HM259,HM262,HM270,HM271,HM276,HM277,HM288,HM294,HM299,HM304,HM305,HM306,HM307,HM308,HM309,HM311
HM003,1,0.698051611495381,0.755015188625415,0.785766417044061,0.733439249380461,0.808096509238288,0.739033384736239,0.748813058744381,0.713828480297014,0.755171563155491,0.695816123167554,0.765949895584585,0.747992501105723,0.691921811645244,0.801355037064714,0.701339631176777,0.698677450152554,0.719722015667693,0.744412164576292,0.708496626437457,0.716429092255388,0.711071766238058,0.746305481458517,0.697955580098426,0.698010747071145,0.754024907411431,0.759165788195058,0.748905139913659,0.749449045400239,0.802356760317484,0.697333964098424,0.779311063947512,0.701996935440612,0.692140640637027,0.693500881105094,0.794567047554884,0.688297341537638,0.798211405015618,0.812261138926919,0.71421533017978,0.704635278884031,0.790365776099188,0.796136922519281,0.79418939216757,0.790096343328726,0.727914243009016,0.748997561619806,0.790119091191551,0.709442637858519,0.75084756221234,0.75644687372852,0.812530094945765,0.81248010413345,0.806593992466507,0.805390262743264,0.806315569522713,0.7999612196614,0.694607557820777,0.729316982478288,0.795749051025908,0.795314730303654,0.793357392490127,0.739658950963917,0.70027599832129,0.791328610041561,0.783112817548927,0.724926849275249,0.681849752681694,0.742944518779859,0.740727010798697,0.764485382727343,0.697141696982394,0.794512765978024,0.791541718013951,0.794045481286886,0.709637765484246,0.790497904404218,0.755628495525822,0.789435701803579,0.752743875819008
HM008,0.698051611495381,1,0.736929888498694,0.703423308168567,0.707850015031297,0.691230998553536,0.705402576556434,0.70131136661668,0.708181357404477,0.721718242791618,0.831891182397132,0.714599455767598,0.733887395899582,0.695823478763917,0.693522062498323,0.689423088317965,0.68369267010736,0.723893796630565,0.691555734511464,0.684082652929319,0.707227173098568,0.715768655052362,0.729429359644937,0.831953364429344,0.83173855377261,0.722389372852319,0.725726225520677,0.729627688317229,0.728730033131513,0.691520659213995,0.683976950285295,0.693611623694773,0.691731179106183,0.682553642389158,0.685636726983011,0.696375352813223,0.682959562336568,0.691878699677675,0.691272816481004,0.683625516236866,0.684767063927897,0.697205990343192,0.702456387783771,0.698489473801068,0.702273996236931,0.756422150751858,0.732421520894866,0.695543761780022,0.694124812755803,0.694834355375286,0.693844687127665,0.693265161484626,0.691395341646338,0.693356289150672,0.692237285000345,0.695382074874795,0.693840464470494,0.683097888412606,0.685810468893387,0.695078520310096,0.700137195493635,0.696579470612281,0.695372471735099,0.690090608687858,0.694652985439052,0.696867564803144,0.686607801917604,0.691988693086243,0.734354340053851,0.724217442870513,0.686690620484055,0.844529254773203,0.696661471890248,0.696772010157806,0.704123656292597,0.708288217873854,0.696429430067962,0.73407121770127,0.69723119007147,0.727024828815522
HM011,0.755015188625415,0.736929888498694,1,0.748536883343919,0.73374845685718,0.741787306392871,0.734335065667087,0.727077952567028,0.706241999937614,0.776577302073502,0.737014545964236,0.772494605555464,0.786233837949946,0.697475695543149,0.740630366435379,0.698322610735438,0.694719730665304,0.720016648166434,0.722335704241823,0.698858751981414,0.70900988360586,0.713207613478122,0.792184242977687,0.734499272545141,0.736195009936185,0.793742131044308,0.787648155672752,0.788183479630242,0.786831412047023,0.738313762225444,0.694447301170398,0.735040317522025,0.702504880233864,0.69182121705425,0.693526489477615,0.741931353488303,0.691452619947642,0.736371271819389,0.742847329557551,0.70177374757691,0.69779811585037,0.747961580358051,0.752504887044602,0.750926362443742,0.753575943603825,0.780987595059164,0.787838515782317,0.73731598920035,0.710379386676754,0.721043503040109,0.722078258369136,0.741315799044563,0.741028249712689,0.740977714041384,0.741848534921852,0.742083641575956,0.740927518906948,0.693917493910179,0.708597357243199,0.738784724714763,0.748482601767059,0.744917112645101,0.721183463693117,0.700619668129114,0.747319395931184,0.745848140443943,0.707433334118838,0.691038935759627,0.780717004463349,0.787998704325322,0.721529108614779,0.727940396240527,0.746894814563372,0.748070007297024,0.752225238168081,0.70889893669406,0.747263071133112,0.74529102212686,0.746950185858212,0.776861514144063
HM012,0.785766417044061,0.703423308168567,0.748536883343919,1,0.736904212018799,0.780458877516925,0.740762290418287,0.753797633105305,0.723657668365855,0.757638207909745,0.704432591339821,0.766014529482252,0.754614921590024,0.69932051997528,0.781220249847814,0.709927766681573,0.707121879098787,0.732887239116408,0.747606468511441,0.716066965349284,0.723668293116156,0.723875203317537,0.749097679459184,0.703518658491784,0.706756483038744,0.755484244108269,0.760319731428107,0.752446519025318,0.753347307150225,0.781681336767943,0.701475914031604,0.765696331832201,0.711662257168267,0.700220831348571,0.704662930477764,0.77948119616708,0.698635291688217,0.779365073094877,0.785132541716788,0.716872130721479,0.707848380454328,0.787778445078691,0.787844100586963,0.796623209167688,0.802554748452907,0.732231773751663,0.749436104999231,0.768709606367985,0.71083604661759,0.739983686921845,0.744366464528522,0.778267658982021,0.774683167902793,0.779212853114598,0.776613603303698,0.778048625668116,0.769093663848429,0.700245418110486,0.729168848940433,0.782397485802677,0.791598451456265,0.789470572778927,0.746416905121933,0.711038529839679,0.787283236364325,0.800192580409949,0.728180679055035,0.690890666007024,0.746893316201151,0.747660818195675,0.758653280207766,0.707396556137026,0.787586177962661,0.788599547576338,0.785571085096213,0.71670492711898,0.796728843704338,0.762620466619963,0.786320402421953,0.758089555475431
HM013,0.733439249380461,0.707850015031297,0.73374845685718,0.736904212018799,1,0.726457766821874,0.826717746288863,0.735885666244719,0.724103771663764,0.738154595293045,0.703206931042238,0.736493660769976,0.734473527957873,0.741095812227426,0.729981301801617,0.740052066725067,0.725387595658509,0.71978283555243,0.728944094607136,0.730903884286117,0.723601684104652,0.726337284877752,0.733916409640789,0.703059751007615,0.705682702184571,0.73277561113087,0.73787944150319,0.735156781131097,0.732381405651741,0.732525248425051,0.735104474668075,0.728025189920817,0.749005121538289,0.742835206445028,0.737477063139213,0.729553178850372,0.742623801156981,0.728733779037068,0.730260882570765,0.73262373168746,0.732183553731065,0.728265268413203,0.730474126757902,0.732534987779494,0.730399344861551,0.725495818275361,0.732977140849727,0.731851530284148,0.74527494878666,0.728623649413752,0.727078497426018,0.732443110932337,0.732591176362818,0.73199210390352,0.733662641566284,0.73424795633609,0.729558559332896,0.72454708255935,0.730106959906143,0.728193687563417,0.734890208870332,0.728303068005621,0.728424843989844,0.746724205592187,0.72824218001351,0.728722473213029,0.732723440882595,0.731516850649656,0.734953140083655,0.733164436127475,0.726351042567245,0.707679337952739,0.728005438782436,0.729150936701143,0.730746964897051,0.727512341396656,0.727169829414185,0.736302823908794,0.728511544676598,0.740033745841534
HM031,0.808096509238288,0.691230998553536,0.741787306392871,0.780458877516925,0.726457766821874,1,0.736292267265866,0.743045658229843,0.710246236761118,0.750045734101457,0.692547309765549,0.762891533967395,0.745110673801232,0.685969840147907,0.798014438490801,0.701059369333892,0.700619395699619,0.724045539859227,0.736532209543505,0.70553756537116,0.7101991064585,0.710609793922071,0.740519010879336,0.691599323230649,0.69491356425093,0.748860393369121,0.755484652752512,0.743132563238718,0.744531761124556,0.804776547198614,0.697219066958947,0.793200132564192,0.698852486103031,0.692538864451206,0.693663453406179,0.805803878823905,0.687903749024873,0.799679050812051,0.817650543517275,0.71313153754167,0.702901878115316,0.790377422460096,0.794161740573837,0.793320273971446,0.77902555783685,0.72076535252581,0.743740557763975,0.784269553184299,0.704466508811936,0.748644492994407,0.753485633226264,0.804537354102087,0.799939152872313,0.801004352197396,0.807981543991438,0.794955736336741,0.793439053231225,0.69386906956746,0.721100032160302,0.792522191766118,0.788226319168316,0.791713621025237,0.734239987773364,0.698392625115629,0.786921722424584,0.778857809375361,0.720117991938539,0.680245074849323,0.736764932439528,0.737384777647814,0.752823970090511,0.694331246205568,0.789277965126028,0.785489356247741,0.789179822400488,0.706914628360537,0.789919468479158,0.752794070953445,0.786098917242594,0.749145967587156
HM032,0.739033384736239,0.705402576556434,0.734335065667087,0.740762290418287,0.826717746288863,0.736292267265866,1,0.736413157854231,0.718630458788977,0.747353517725421,0.704467394207795,0.741706667262379,0.739547731622621,0.727879644463163,0.73587783389674,0.731185644491224,0.721528972400032,0.721896003037044,0.727332061178402,0.724692832339125,0.718073068042399,0.724269749333535,0.736896992637184,0.703327481093734,0.706914832682658,0.736876560425066,0.739890720356708,0.738417149218761,0.737012638957772,0.736912521118394,0.723517435283352,0.731467268481583,0.738911540644642,0.731888785017576,0.730222333797235,0.734016323158046,0.732120350088247,0.735691696444346,0.739496310555458,0.729564144137542,0.719064234652242,0.734271862024268,0.734604226008054,0.738223928599499,0.734754198445,0.72621278459858,0.733659372412345,0.73585004608826,0.73269939897967,0.725242595059845,0.727239162720639,0.737478629608809,0.736890590544054,0.735664930246471,0.735395225046514,0.738172507532335,0.733478070583485,0.713046403324512,0.723560819680416,0.73587545013866,0.739357303405682,0.735863054596642,0.728827154246447,0.738497856456627,0.736473160450484,0.735216443190482,0.726277418496246,0.722593082007135,0.738103991514366,0.73851106928713,0.723956455414393,0.708493834035134,0.7351272225309,0.736769631848316,0.736539837569362,0.721376207560763,0.734297334182042,0.740278728064828,0.734908802183359,0.744817267235218
HM038,0.748813058744381,0.70131136661668,0.727077952567028,0.753797633105305,0.735885666244719,0.743045658229843,0.736413157854231,1,0.722930758366071,0.737092324585032,0.699604663938467,0.741299248952747,0.731855821048693,0.726105447377587,0.74648392277768,0.770786268300281,0.740209599080496,0.743130383802759,0.791226312766223,0.735456794112363,0.720542368984229,0.72790845388225,0.728194641066649,0.697656043868777,0.702797060867151,0.728947363761074,0.733961428614823,0.730883383966625,0.729296890803039,0.749553385896788,0.734526719816753,0.741395825208691,0.753579961938875,0.734578890065028,0.737386957083773,0.750267151173442,0.733730135973647,0.747443759995608,0.746044970754013,0.738872515119496,0.734478567903528,0.743564432095518,0.745724661775377,0.751075517592203,0.743926218464754,0.71744968125068,0.727514316510494,0.743237516701631,0.743330006515151,0.741083144255913,0.741054607266321,0.74210584457979,0.743592900977736,0.743106341899833,0.744604704121817,0.742133768603018,0.741323903822036,0.729165784108615,0.74849084275928,0.749790603879478,0.749948953523392,0.745850183665155,0.786888281704085,0.753033468372094,0.74465830462494,0.747418968911572,0.73982642699591,0.735386098658435,0.728365863004197,0.725963102966498,0.762988246438086,0.70403416320352,0.746212242463885,0.747021017526888,0.746611555996044,0.736216531866282,0.751376620291448,0.750081831009532,0.745753947946079,0.740200813229285
HM046,0.713828480297014,0.708181357404477,0.706241999937614,0.723657668365855,0.724103771663764,0.710246236761118,0.718630458788977,0.722930758366071,1,0.710191001681026,0.70253586908891,0.714222617668769,0.711405764798813,0.721283445317747,0.713877381391349,0.717901846104851,0.71185091459349,0.726694167516079,0.714041996913646,0.715566171830273,0.86360871823421,0.784305718199748,0.706791626443587,0.701757742344084,0.705525442258637,0.705665402911645,0.709596424308393,0.711272410561056,0.70822637637851,0.712873751132115,0.714385189969854,0.710818474915169,0.72547204880193,0.716343276964493,0.717057995744379,0.712096237353653,0.717732122529524,0.712523202479544,0.709116880289985,0.713393955252638,0.711717219818864,0.722538187463912,0.715975769575864,0.71788502358354,0.716140316990787,0.705912428356151,0.705514817508335,0.709431059604985,0.715117752881657,0.711321175440644,0.70961828677536,0.708478918520288,0.708778727179433,0.710809552849211,0.711189455779857,0.713292339051038,0.709143850809981,0.710390215749176,0.713935749410633,0.71236723659371,0.722804351080435,0.716451363366597,0.716102108754127,0.724693172875993,0.720585072307555,0.718283451719841,0.713589968274223,0.721428990775401,0.711192180074806,0.706547733938272,0.710995622194232,0.710292822204747,0.717144424001638,0.717953607708883,0.714738531024748,0.722375615162826,0.717284112225151,0.742027589207379,0.72578731783491,0.718510521703845
HM051,0.755171563155491,0.721718242791618,0.776577302073502,0.757638207909745,0.738154595293045,0.750045734101457,0.747353517725421,0.737092324585032,0.710191001681026,1,0.724960221888375,0.772722084183711,0.777448122953969,0.697969746432161,0.750002622133888,0.707245493982101,0.703506126735018,0.72768036228764,0.729552906420877,0.709128390436145,0.709971695937627,0.716802865522399,0.784517532132037,0.723557686741224,0.726296692883011,0.782295597171582,0.77778661660139,0.77677849125549,0.773175338755861,0.749676796457981,0.697741246193309,0.739854827770754,0.711904787526107,0.698602804470949,0.701315112522235,0.74887353809225,0.700615649794064,0.747837011971506,0.752725759257597,0.70948268499427,0.701170248138319,0.75269272718134,0.753951351447806,0.755593488335727,0.753789800757327,0.762842700980433,0.768787248774033,0.739689939818962,0.710773728370631,0.724316470991912,0.725608535978878,0.743466766121594,0.743562797518549,0.744572148797176,0.746478201758287,0.74490996137086,0.741869171456091,0.693288999065431,0.715146834730238,0.75214207906476,0.755890232163053,0.751985568319937,0.730700651882917,0.711726754851186,0.752757088649511,0.75554894611331,0.712713835018605,0.69498684778506,0.775787665182516,0.782753755474641,0.733705889748601,0.725107538137746,0.753577510073421,0.752832211082732,0.757496748894515,0.712623047889427,0.754309596233608,0.749503190762352,0.753080121923096,0.773765080504959
