ID_Mt4,chromosome_file,position_start
1,Medtr1g004930,1,689
2,Medtr1g004940,1,6524
3,Medtr1g004950,1,14514
4,Medtr1g004960,1,16283
5,Medtr1g006530,1,28973
6,Medtr1g004980,1,31973
7,Medtr1g004990,1,35910
8,Medtr1g006490,1,44430
9,Medtr1g006590,1,46548
10,Medtr1g006600,1,51361
11,Medtr1g006605,1,56917
12,Medtr1g006660,1,70778
13,Medtr1g006540,1,80103
14,Medtr1g006690,1,98846
15,Medtr1g006695,1,111983
16,Medtr1g006650,1,120398
17,Medtr1g006640,1,122482
18,Medtr1g006630,1,125399
19,Medtr1g006620,1,126518
20,Medtr1g006970,1,127615
21,Medtr1g006975,1,129008
22,Medtr1g006990,1,138882
23,Medtr1g007017,1,155304
24,Medtr1g007020,1,159169
25,Medtr1g007030,1,164282
26,Medtr1g007070,1,175347
27,Medtr1g007060,1,171864
28,Medtr1g007110,1,180916
29,Medtr1g007120,1,184125
30,Medtr1g007150,1,198077
31,Medtr1g007153,1,204129
32,Medtr1g007157,1,204529
33,Medtr1g007160,1,206900
34,Medtr1g007165,1,207284
35,Medtr1g007170,1,215277
36,Medtr1g007180,1,220850
37,Medtr1g007190,1,226814
38,Medtr1g007195,1,228462
39,Medtr1g007200,1,230993
40,Medtr1g007220,1,234933
41,Medtr1g007230,1,235826
42,Medtr1g007240,1,240957
43,Medtr1g007250,1,246718
44,Medtr1g007260,1,250502
45,Medtr1g007270,1,255917
46,Medtr1g007280,1,260159
47,Medtr1g007290,1,261026
48,Medtr1g007300,1,264988
49,Medtr1g007310,1,271776
50,Medtr1g007320,1,273357
51,Medtr1g007325,1,281812
52,Medtr1g007340,1,284592
53,Medtr1g007345,1,293600
54,Medtr1g007360,1,301574
55,Medtr1g007370,1,306478
56,Medtr1g007380,1,311854
57,Medtr1g007385,1,324335
58,Medtr1g007390,1,326268
59,Medtr1g007400,1,336657
60,Medtr1g007410,1,344159
61,Medtr1g007420,1,346727
62,Medtr1g007430,1,360957
63,Medtr1g007440,1,365848
64,Medtr1g007450,1,367877
65,Medtr1g007460,1,375738
66,Medtr1g007480,1,390537
67,Medtr1g007490,1,395594
68,Medtr1g007510,1,413021
69,Medtr1g007520,1,419203
70,Medtr1g007530,1,423965
71,Medtr1g007540,1,425661
72,Medtr1g007580,1,437876
73,Medtr1g007590,1,444327
74,Medtr1g007600,1,449631
75,Medtr1g007610,1,453448
76,Medtr1g007620,1,456109
77,Medtr1g007630,1,461057
78,Medtr1g007640,1,472208
79,Medtr1g007650,1,477307
80,Medtr1g007670,1,488273
81,Medtr1g007690,1,493397
82,Medtr1g007700,1,498003
83,Medtr1g007710,1,511316
84,Medtr1g007740,1,529208
85,Medtr1g007800,1,563999
86,Medtr1g007810,1,575699
87,Medtr1g007830,1,581887
88,Medtr1g007840,1,589317
89,Medtr1g007850,1,592949
90,Medtr1g007860,1,595273
91,Medtr1g007870,1,604727
92,Medtr1g007880,1,606935
93,Medtr1g007905,1,616468
94,Medtr1g007920,1,623232
95,Medtr1g007930,1,630471
96,Medtr1g007950,1,645692
97,Medtr1g007990,1,656620
98,Medtr1g008000,1,668789
99,Medtr1g008010,1,670923
100,Medtr1g008030,1,676605
101,Medtr1g008050,1,683455
102,Medtr1g008060,1,708137
103,Medtr1g008070,1,720181
104,Medtr1g008090,1,722183
105,Medtr1g008120,1,732376
106,Medtr1g008140,1,744520
107,Medtr1g008160,1,763273
108,Medtr1g008170,1,769625
109,Medtr1g008180,1,774819
110,Medtr1g008195,1,779215
111,Medtr1g008200,1,783312
112,Medtr1g008220,1,804510
113,Medtr1g008230,1,813490
114,Medtr1g008240,1,825317
115,Medtr1g008250,1,830311
116,Medtr1g008280,1,836416
117,Medtr1g008290,1,845508
118,Medtr1g008300,1,846306
119,Medtr1g008310,1,850741
120,Medtr1g008330,1,858338
121,Medtr1g008340,1,859989
122,Medtr1g008350,1,861041
123,Medtr1g008360,1,866590
124,Medtr1g008370,1,869612
125,Medtr1g008380,1,883915
126,Medtr1g008400,1,895751
127,Medtr1g008420,1,900363
128,Medtr1g008450,1,908671
129,Medtr1g008460,1,915268
130,Medtr1g008470,1,923318
131,Medtr1g008500,1,934387
132,Medtr1g008510,1,940984
133,Medtr1g008530,1,948978
134,Medtr1g008560,1,959394
135,Medtr1g008575,1,963308
136,Medtr1g008580,1,971546
137,Medtr1g008590,1,973945
138,Medtr1g008600,1,976147
139,Medtr1g008610,1,993930
140,Medtr1g008620,1,997642
141,Medtr1g008630,1,1000083
142,Medtr1g008640,1,1004453
143,Medtr1g008670,1,1017899
144,Medtr1g008675,1,1021643
145,Medtr1g008700,1,1027028
146,Medtr1g008710,1,1033569
147,Medtr1g008740,1,1057858
148,Medtr1g008765,1,1068759
149,Medtr1g008885,1,1077998
150,Medtr1g008900,1,1086535
151,Medtr1g008910,1,1088215
152,Medtr1g008930,1,1091886
153,Medtr1g008950,1,1104500
154,Medtr1g008970,1,1112271
155,Medtr1g008980,1,1119784
156,Medtr1g008990,1,1129608
157,Medtr1g009000,1,1137934
158,Medtr1g009010,1,1141945
159,Medtr1g009030,1,1149419
160,Medtr1g009040,1,1154803
161,Medtr1g009110,1,1177550
162,Medtr1g009140,1,1188429
163,Medtr1g009150,1,1196660
164,Medtr1g009155,1,1200939
165,Medtr1g009170,1,1201921
166,Medtr1g009180,1,1203658
167,Medtr1g009190,1,1208841
168,Medtr1g009200,1,1220841
169,Medtr1g009210,1,1224296
170,Medtr1g009220,1,1232040
171,Medtr1g009230,1,1238758
172,Medtr1g009240,1,1245198
173,Medtr1g009260,1,1250760
174,Medtr1g009270,1,1253486
175,Medtr1g009280,1,1257277
176,Medtr1g009310,1,1268905
177,Medtr1g009315,1,1275993
178,Medtr1g009570,1,1299615
179,Medtr1g009600,1,1326040
180,Medtr1g009610,1,1329522
181,Medtr1g009430,1,1345602
182,Medtr1g009420,1,1347598
183,Medtr1g009410,1,1355662
184,Medtr1g009400,1,1356587
185,Medtr1g009613,1,1360197
186,Medtr1g009617,1,1377649
187,Medtr1g009490,1,1384990
188,Medtr1g009480,1,1386835
189,Medtr1g009460,1,1391603
190,Medtr1g009450,1,1392339
191,Medtr1g009620,1,1396020
192,Medtr1g009640,1,1409585
193,Medtr1g009650,1,1414912
194,Medtr1g009660,1,1422158
195,Medtr1g009680,1,1431581
196,Medtr1g009690,1,1438514
197,Medtr1g009710,1,1448833
198,Medtr1g009720,1,1458446
199,Medtr1g009730,1,1490466
200,Medtr1g009740,1,1491251
201,Medtr1g009750,1,1493125
202,Medtr1g009760,1,1495173
203,Medtr1g009770,1,1509159
204,Medtr1g009780,1,1513775
205,Medtr1g009790,1,1518968
206,Medtr1g009820,1,1536423
207,Medtr1g009830,1,1538343
208,Medtr1g009840,1,1542198
209,Medtr1g009850,1,1551191
210,Medtr1g009860,1,1556922
211,Medtr1g009890,1,1581516
212,Medtr1g009900,1,1590188
213,Medtr1g009910,1,1612264
214,Medtr1g009920,1,1620447
215,Medtr1g009940,1,1628800
216,Medtr1g009950,1,1636871
217,Medtr1g009960,1,1649119
218,Medtr1g009970,1,1655448
219,Medtr1g009980,1,1660245
220,Medtr1g009990,1,1665087
221,Medtr1g010000,1,1665925
222,Medtr1g010010,1,1676321
223,Medtr1g010020,1,1683523
224,Medtr1g010030,1,1690934
225,Medtr1g010040,1,1703938
226,Medtr1g010050,1,1714470
227,Medtr1g010070,1,1724639
228,Medtr1g010080,1,1729191
229,Medtr1g010090,1,1734036
230,Medtr1g010100,1,1738827
231,Medtr1g010110,1,1745637
232,Medtr1g010120,1,1751260
233,Medtr1g010130,1,1758257
234,Medtr1g010140,1,1768577
235,Medtr1g010150,1,1778859
236,Medtr1g010170,1,1784076
237,Medtr1g010180,1,1792069
238,Medtr1g010190,1,1793366
239,Medtr1g010210,1,1806316
240,Medtr1g010220,1,1815272
241,Medtr1g010230,1,1832241
242,Medtr1g010240,1,1839809
243,Medtr1g010250,1,1855016
244,Medtr1g010260,1,1865298
245,Medtr1g010270,1,1874465
246,Medtr1g010280,1,1878255
247,Medtr1g010290,1,1888016
248,Medtr1g010300,1,1902541
249,Medtr1g011280,1,1918950
250,Medtr1g010310,1,1937707
251,Medtr1g011245,1,1948650
252,Medtr1g011250,1,1950958
253,Medtr1g011260,1,1953709
254,Medtr1g011200,1,1957780
255,Medtr1g011320,1,1963143
256,Medtr1g011340,1,1969316
257,Medtr1g011357,1,1976772
258,Medtr1g011360,1,1983271
259,Medtr1g011380,1,1996826
260,Medtr1g011400,1,2006190
261,Medtr1g011410,1,2010288
262,Medtr1g011415,1,2013845
263,Medtr1g011430,1,2019507
264,Medtr1g011440,1,2024119
265,Medtr1g011460,1,2029392
266,Medtr1g011470,1,2033308
267,Medtr1g011490,1,2047500
268,Medtr1g011510,1,2055774
269,Medtr1g011520,1,2060030
270,Medtr1g011530,1,2065071
271,Medtr1g011540,1,2066824
272,Medtr1g011580,1,2083698
273,Medtr1g011600,1,2095330
274,Medtr1g011610,1,2100048
275,Medtr1g011625,1,2115543
276,Medtr1g011630,1,2133963
277,Medtr1g011640,1,2146078
278,Medtr1g011650,1,2157509
279,Medtr1g011660,1,2172188
280,Medtr1g011670,1,2174678
281,Medtr1g011680,1,2177904
282,Medtr1g011690,1,2179359
283,Medtr1g011700,1,2184151
284,Medtr1g011710,1,2188299
285,Medtr1g011720,1,2193529
286,Medtr1g011730,1,2204067
287,Medtr1g011740,1,2210664
288,Medtr1g011750,1,2215483
289,Medtr1g011850,1,2223509
290,Medtr1g011840,1,2231939
291,Medtr1g011755,1,2239566
292,Medtr1g011880,1,2251690
293,Medtr1g011800,1,2282936
294,Medtr1g011810,1,2288800
295,Medtr1g011980,1,2294301
296,Medtr1g011990,1,2303846
297,Medtr1g012000,1,2308837
298,Medtr1g012010,1,2309421
299,Medtr1g012015,1,2311143
300,Medtr1g012020,1,2312974
301,Medtr1g012030,1,2322239
302,Medtr1g012040,1,2327807
303,Medtr1g012050,1,2332529
304,Medtr1g012160,1,2373104
305,Medtr1g012170,1,2374538
306,Medtr1g012180,1,2375794
307,Medtr1g012190,1,2379844
308,Medtr1g012200,1,2380743
309,Medtr1g012210,1,2382131
310,Medtr1g012260,1,2392835
311,Medtr1g012280,1,2401628
312,Medtr1g012290,1,2403119
313,Medtr1g012330,1,2416779
314,Medtr1g012335,1,2419343
315,Medtr1g012360,1,2425865
316,Medtr1g012370,1,2434267
317,Medtr1g012380,1,2444546
318,Medtr1g012390,1,2447667
319,Medtr1g012410,1,2453351
320,Medtr1g012420,1,2455302
321,Medtr1g012430,1,2466106
322,Medtr1g012440,1,2468189
323,Medtr1g012470,1,2480152
324,Medtr1g012480,1,2486581
325,Medtr1g012490,1,2489576
326,Medtr1g012510,1,2499936
327,Medtr1g012520,1,2502649
328,Medtr1g012530,1,2514968
329,Medtr1g012540,1,2520782
330,Medtr1g012550,1,2527615
331,Medtr1g012570,1,2540403
332,Medtr1g012590,1,2543649
333,Medtr1g012600,1,2549497
334,Medtr1g012610,1,2557276
335,Medtr1g012620,1,2563081
336,Medtr1g012630,1,2578208
337,Medtr1g012650,1,2583235
338,Medtr1g012690,1,2591957
339,Medtr1g012700,1,2599711
340,Medtr1g012710,1,2607695
341,Medtr1g012740,1,2621388
342,Medtr1g012760,1,2628216
343,Medtr1g012790,1,2638726
344,Medtr1g012800,1,2645517
345,Medtr1g012820,1,2656746
346,Medtr1g012830,1,2667014
347,Medtr1g012840,1,2672037
348,Medtr1g012850,1,2678294
349,Medtr1g012860,1,2693422
350,Medtr1g012870,1,2693838
351,Medtr1g012890,1,2706411
352,Medtr1g012910,1,2715810
353,Medtr1g012920,1,2725208
354,Medtr1g012930,1,2731639
355,Medtr1g012950,1,2737894
356,Medtr1g012960,1,2743275
357,Medtr1g012980,1,2767536
358,Medtr1g012990,1,2777429
359,Medtr1g013000,1,2785071
360,Medtr1g013010,1,2789761
361,Medtr1g013030,1,2798487
362,Medtr1g013040,1,2805858
363,Medtr1g013050,1,2810795
364,Medtr1g013060,1,2821436
365,Medtr1g013070,1,2830816
366,Medtr1g013090,1,2839234
367,Medtr1g013100,1,2847473
368,Medtr1g013110,1,2851524
369,Medtr1g013120,1,2858294
370,Medtr1g013130,1,2866484
371,Medtr1g013150,1,2878531
372,Medtr1g013160,1,2888569
373,Medtr1g013170,1,2892386
374,Medtr1g013180,1,2902323
375,Medtr1g013190,1,2909567
376,Medtr1g014380,1,2926021
377,Medtr1g014390,1,2927816
378,Medtr1g014445,1,2943735
379,Medtr1g014450,1,2947078
380,Medtr1g014420,1,2983258
381,Medtr1g014410,1,2986543
382,Medtr1g014340,1,3000992
383,Medtr1g014330,1,3004193
384,Medtr1g014320,1,3005984
385,Medtr1g014310,1,3012996
386,Medtr1g014300,1,3015402
387,Medtr1g014280,1,3020470
388,Medtr1g014270,1,3029508
389,Medtr1g014260,1,3041217
390,Medtr1g014250,1,3049359
391,Medtr1g014240,1,3054077
392,Medtr1g014230,1,3058202
393,Medtr1g014220,1,3062193
394,Medtr1g014210,1,3066377
395,Medtr1g014190,1,3077750
396,Medtr1g014180,1,3082720
397,Medtr1g014160,1,3091946
398,Medtr1g014150,1,3098026
399,Medtr1g014140,1,3102208
400,Medtr1g014130,1,3109176
401,Medtr1g014120,1,3114127
402,Medtr1g014110,1,3119471
403,Medtr1g014510,1,3122892
404,Medtr1g014080,1,3127477
405,Medtr1g014070,1,3144219
406,Medtr1g014060,1,3151005
407,Medtr1g014040,1,3159696
408,Medtr1g014030,1,3169851
409,Medtr1g014530,1,3183175
410,Medtr1g013980,1,3185556
411,Medtr1g014550,1,3192072
412,Medtr1g013950,1,3192758
413,Medtr1g013940,1,3194373
414,Medtr1g014570,1,3201576
415,Medtr1g013900,1,3203191
416,Medtr1g014590,1,3210413
417,Medtr1g013860,1,3212028
418,Medtr1g013840,1,3217065
419,Medtr1g013820,1,3222063
420,Medtr1g013800,1,3233402
421,Medtr1g013790,1,3244912
422,Medtr1g013760,1,3258029
423,Medtr1g013740,1,3272148
424,Medtr1g013730,1,3277876
425,Medtr1g013700,1,3292908
426,Medtr1g013680,1,3299843
427,Medtr1g013670,1,3305210
428,Medtr1g013660,1,3316491
